ano,categoria,horistas,integralcomde,integralsemde,parcial
2014,Pública Federal,726,80118,13333,7591
2015,Pública Federal,407,83491,13964,7696
2016,Pública Federal,308,87517,14320,7960
2017,Pública Federal,396,90987,14483,8041
2018,Pública Federal,333,93863,14756,8091
2019,Pública Federal,536,97283,14392,8286
2020,Pública Federal,631,98229,11842,7383
2021,Pública Federal,373,99903,12198,7318
2022,Pública Federal,370,101015,12475,7295
2023,Pública Federal,470,101482,13960,7706
2024,Pública Federal,549,103774,15001,7475
2014,Pública Estadual,4175,25540,12921,8227
2015,Pública Estadual,4047,25484,13509,9535
2016,Pública Estadual,3040,26208,13273,9270
2017,Pública Estadual,2824,25943,12946,8990
2018,Pública Estadual,2453,25514,13659,8759
2019,Pública Estadual,2750,24804,13338,8545
2020,Pública Estadual,2853,24425,11178,8755
2021,Pública Estadual,3743,24537,12822,8983
2022,Pública Estadual,3541,24633,12700,8499
2023,Pública Estadual,4491,25277,13701,8284
2024,Pública Estadual,5247,27217,13851,7826
2014,Pública Municipal,1540,205,559,783
2015,Pública Municipal,1485,150,566,820
2016,Pública Municipal,1203,205,617,946
2017,Pública Municipal,2092,267,1671,1689
2018,Pública Municipal,1743,187,1546,1158
2019,Pública Municipal,1565,159,1554,1424
2020,Pública Municipal,1350,113,1470,1065
2021,Pública Municipal,1675,102,1364,990
2022,Pública Municipal,1301,104,1857,821
2023,Pública Municipal,1238,76,1160,753
2024,Pública Municipal,882,66,910,639
2014,Privada sem fins lucrativos,46175,1532,32645,44900
2015,Privada sem fins lucrativos,44848,1560,33504,46631
2016,Privada sem fins lucrativos,40845,1511,33134,46451
2017,Privada sem fins lucrativos,38201,1633,33018,45436
2018,Privada sem fins lucrativos,32946,1572,27705,42471
2019,Privada sem fins lucrativos,30648,1615,26991,41248
2020,Privada sem fins lucrativos,31726,1473,24415,36330
2021,Privada sem fins lucrativos,28506,1244,23447,36769
2022,Privada sem fins lucrativos,27023,1165,23583,35848
2023,Privada sem fins lucrativos,24430,1087,23076,34991
2024,Privada sem fins lucrativos,23946,1069,22340,33923
2014,Privada com fins lucrativos,31466,1317,18156,44082
2015,Privada com fins lucrativos,37212,1314,18959,38254
2016,Privada com fins lucrativos,33237,1284,19195,38893
2017,Privada com fins lucrativos,31607,1617,18618,39312
2018,Privada com fins lucrativos,30439,1594,27011,46868
2019,Privada com fins lucrativos,32077,1432,31139,44520
2020,Privada com fins lucrativos,31901,1261,23439,44414
2021,Privada com fins lucrativos,26442,1371,23662,41414
2022,Privada com fins lucrativos,28874,1354,24346,43059
2023,Privada com fins lucrativos,31551,1589,26712,43197
2024,Privada com fins lucrativos,34497,1302,25834,44254
2014,Especial,2810,336,2201,2048
2015,Especial,1585,459,1302,1222
2016,Especial,1376,404,1622,1275
2017,Especial,348,30,224,300
2018,Especial,563,79,467,697
2019,Especial,615,75,422,655
2020,Especial,906,78,436,616
2021,Especial,869,45,467,581
2022,Especial,931,124,460,738
2023,Especial,985,82,1100,892
2024,Especial,1403,90,1445,961
